"","Year","Month","MonthT"
"1","2004","01",17.9696551724138
"2","2004","02",17.0796296296296
"3","2004","03",17.2232258064516
"4","2004","04",18.4193103448276
"5","2004","05",20.5936666666667
"6","2004","06",24.032
"7","2004","07",27.4146666666667
"8","2004","08",28.7832258064516
"9","2004","09",27.798
"10","2004","10",26.671935483871
"11","2004","11",23.4606666666667
"12","2004","12",20.2509677419355
"13","2005","01",18.4483333333333
"14","2005","02",17.1276923076923
"15","2005","03",17.8296666666667
"16","2005","04",18.1032142857143
"17","2005","05",21.581
"18","2005","06",23.8792857142857
"19","2005","07",27.9174074074074
"20","2005","08",28.9454838709677
"21","2005","09",28.6027586206897
"22","2005","10",25.592380952381
"23","2005","11",22.6523333333333
"24","2005","12",20.7970967741935
"25","2006","01",18.2032258064516
"26","2006","02",17.1861538461538
"27","2006","03",17.7345161290323
"28","2006","04",19.4320689655172
"29","2006","05",20.0756666666667
"30","2006","06",24.8153333333333
"31","2006","07",28.004
"32","2006","08",29.1151612903226
"33","2006","09",28.4775862068966
"34","2006","10",27.5928571428571
"35","2006","11",23.4157692307692
"36","2006","12",20.5426666666667
"37","2007","01",18.1841935483871
"38","2007","02",17.565
"39","2007","03",17.8545161290323
"40","2007","04",18.702
"41","2007","05",20.5932258064516
"42","2007","06",24.3514285714286
"43","2007","08",27.9733333333333
"44","2007","09",28.4565384615385
"45","2007","10",26.8463333333333
"46","2007","11",24.5441379310345
"47","2007","12",21.458
"48","2008","01",18.5322580645161
"49","2008","02",17.2262068965517
"50","2008","03",18.0788888888889
"51","2008","04",19.9375862068966
"52","2008","05",21.3044827586207
"53","2008","06",25.5273333333333
"54","2008","07",28.6212903225806
"55","2008","08",29.0803846153846
"56","2008","09",28.5685714285714
"57","2008","10",26.7693548387097
"58","2008","11",23.6789285714286
"59","2008","12",21.0996551724138
"60","2009","01",18.9588888888889
"61","2009","02",18.1046428571429
"62","2009","03",17.7493548387097
"63","2009","04",18.6910526315789
"64","2009","05",21.3216666666667
"65","2009","06",24.4853333333333
"66","2009","07",28.0190322580645
"67","2009","08",29.3561290322581
"68","2009","09",28.5036666666667
"69","2009","10",26.4935483870968
"70","2009","11",23.6903333333333
"71","2009","12",20.9283870967742
"72","2010","01",19.2906666666667
"73","2010","02",18.3452
"74","2010","03",18.5712
"75","2010","04",19.5953333333333
"76","2010","05",22.321935483871
"77","2010","06",25.9770588235294
"78","2010","08",29.8
"79","2010","09",29.2276666666667
"80","2010","10",24.9985185185185
"81","2010","11",24.833
"82","2010","12",22.3447368421053
"83","2011","01",19.7512903225806
"84","2011","02",18.4725
"85","2011","03",18.1351612903226
"86","2011","04",19.4923333333333
"87","2011","05",20.8725806451613
"88","2011","06",24.694
"89","2011","07",27.3896774193548
"90","2011","08",29.0986666666667
"91","2011","09",28.8956666666667
"92","2011","10",27.0548387096774
"93","2011","11",23.038
"94","2011","12",20.19
"95","2012","01",18.0022580645161
"96","2012","02",16.711724137931
"97","2012","03",16.3538709677419
"98","2012","04",18.3506666666667
"99","2012","05",20.5732258064516
"100","2012","06",22.6083333333333
"101","2012","07",29.1209677419355
"102","2012","08",29.9048387096774
"103","2012","09",29.5753333333333
"104","2012","10",27.5645161290323
"105","2012","11",25.2936363636364
"106","2012","12",21.485
"107","2013","01",20.2995238095238
"108","2013","02",19.5660714285714
"109","2013","03",19.8274193548387
"110","2013","04",20.788
"111","2013","05",22.0425806451613
"112","2013","06",25.1143333333333
"113","2013","07",27.288064516129
"114","2013","08",28.968064516129
"115","2013","09",28.3276666666667
"116","2013","10",25.7216129032258
"117","2013","11",23.762
"118","2013","12",20.5822580645161
"119","2014","01",18.691935483871
"120","2014","02",18.2860714285714
"121","2014","03",18.6977419354839
"122","2014","04",19.602
"123","2014","05",21.5074193548387
"124","2014","06",25.2856666666667
"125","2014","07",28.4816129032258
"126","2014","08",29.4490322580645
"127","2014","09",29.052
"128","2014","10",26.878064516129
"129","2014","11",23.987
"130","2014","12",21.5596153846154
"131","2015","01",18.7383870967742
"132","2015","02",17.4610714285714
"133","2015","03",17.7764516129032
"134","2015","04",19.2693333333333
"135","2015","05",20.9548387096774
"136","2015","06",24.6496666666667
"137","2015","07",26.6122580645161
"138","2015","08",28.521935483871
"139","2015","09",28.377
"140","2015","10",27.1893548387097
"141","2015","11",24.1606666666667
"142","2015","12",21.2403333333333
"143","2016","01",18.344
"144","2016","02",17.8525925925926
"145","2016","03",18.661724137931
"146","2016","04",19.1686666666667
"147","2016","05",22.2161290322581
"148","2016","06",24.055
"149","2016","07",28.3964516129032
"150","2016","08",29.1506451612903
"151","2016","09",28.824
"152","2016","10",27.0393548387097
"153","2016","11",23.9333333333333
"154","2016","12",20.1022580645161
"155","2017","01",18.3187096774194
"156","2017","02",17.3396428571429
"157","2017","03",17.9725806451613
"158","2017","04",19.129
"159","2017","05",22.0438709677419
"160","2017","06",23.7666666666667
"161","2017","07",28.6727586206897
"162","2017","08",29.3677419354839
"163","2017","09",28.942
"164","2017","10",27.2451612903226
"165","2017","11",24.8648275862069
"166","2017","12",22.2633333333333
"167","2018","01",20.3441935483871
"168","2018","02",19.2352
"169","2018","03",19.0729032258065
"170","2018","04",19.9096666666667
"171","2018","05",21.2996774193548
"172","2018","06",24.8296666666667
"173","2018","07",27.3632258064516
"174","2018","08",28.0222580645161
"175","2018","09",28.1226666666667
"176","2018","10",26.0583870967742
"177","2018","11",22.6916666666667
